אָב|<a>v|father
לְבַייֵּם|levay<e>m|to stage, to direct (a performance)
לְהָבִין|lehav<i>n|to understand
הִתְבּוֹנְנוּת|hitbonen<u>t|contemplation, observation
תּוֹבָנָה|tovan<a>|insight, understanding
לְבוֹנֵן|levon<e>n|to watch, to supervise
בֵּין|b<e>n|between, amongst
בִּיּוּן|biy<u>n|spying, intelligence; interpolation (mathematics)
לְבַייֵּן|levay<e>n|to interpolate (mathematics)
מוּבָן|muv<a>n|meaning, sense
לְהִתְבּוֹנֵן|lehitbon<e>n|to look, to contemplate, to gaze (ב-)
בֵּינוֹנִי|benon<i>|medium; mediocre
בֵּינוֹנִי|benon<i>|participle (grammar)
בֵּינְתַייִם|bent<a>yim|meanwhile, in the meantime
בֵּיצָה|beitz<a>|egg
בִּירָה|bir<a>|captial (city)
לְהִתְבַּייֵּשׁ|lehitbay<e>sh|to be ashamed
בַּייְשָׁן|baysh<a>n|shy, reticent
לְבַייֵּשׁ|levay<e>sh|to shame, to embarrass
בַּיִת|b<a>yit|home, house
לִבְכּוֹת|livk<o>t|to cry, to weep
לְבַכּוֹת|levak<o>t|to lament, to mourn for
בַּכְייָן|bachy<a>n|whiner, complainer; someone prone to weep (noun and adjective)
לְהִתְבַּכְייֵן|lehitbachy<e>n|to whine, to complain
בְּכוֹר|bch<o>r|first-born
לְהַבְכִּיר|lehavk<i>r|to ripen early; to give first fruit; to give birth for the first time
בָּכִיר|bach<i>r|senior
בִּלְבַד|bilv<a>d|only, solely
לְבַלְבֵּל|levalb<e>l|to confuse
לְהִתְבַּלְבֵּל|lehitbalb<e>l|to become confused, perplexed
לְהַבְלִיג|lehavl<i>g|to restrain, to forbear (על)
בָּלָגָן|balag<a>n|disorder, mess, confusion (slang)
לְבַלְגֵּן|levalg<e>n|to mess up, to make a mess (slang)
לְהַבְלִיחַ|lehavl<i>ach|to flicker, to shimmer
לִבְלוֹט|livl<o>t|to protrude, to stick out
לְהַבְלִיט|lehavl<i>t|to highlight, to emphasise
לְהִתְבַּלֵּט|lehitbal<e>t|to stand out
בַּלּוּט|bal<u>t|acorn
בָּלָטָה|bal<a>ta|tile (colloquial); idiot, fool (slang)
לְהִתְבַּלּוֹת|lehitbal<o>t|to be worn out
לִבְלוֹת|livl<o>t|to wear out, to be dilapidated, to decay
בְּלִי|bl<i>|without
לְבַלּוֹת|leval<o>t|to spend, to wear out; to have a good time
לְהִתְבּוֹלֵל|lehitbol<e>l|to assimilate
לִבְלוֹל|livl<o>l|to mix, to mingle
לְהִיבָּלֵם|lehibal<e>m|to be blocked, stopped
בְּלִימָה|blim<a>|braking; defensive action (military); restraint, curbing
בַּלָּם|bal<a>m|defender (football)
בֶּלֶם|b<e>lem|brake
לִבְלוֹם|livl<o>m|to hold back, to stop
לִבְלוֹעַ|livl<o>a|to swallow
לְהִיבָּלֵעַ|lehibal<e>a|to be swallowed
לְבַּלֵף|lebal<e>f|to bluff, to decieve (slang)
בַּלֶּשֶׁת|bal<e>shet|detective service
בַּלָּשׁ|bal<a>sh|detective, investigator
בִּילּוּשׁ|bil<u>sh|detection, investigation
לִבְלוֹשׁ|livl<o>sh|to investigate, to tail (אחרי)
בַּמַּאי|bam<a>y|director (stage, cinema)
בְּמַעֲמַד|bema'am<a>d|in the presence of (somebody)
בִּמְקוֹם|bimk<o>m|instead of
בֵּן|b<e>n|son, boy
לִבְנוֹת|livn<o>t|to build, to construct
לְהִיבָּנוֹת|lehiban<o>t|to be built, constructed
בַּנַּאי|ban<a>y|builder, construction worker
בִּינּוּי|bin<u>y|construction, development (real estate), building
מוּבְנֶה|muvn<e>|built-in; structured
תַּבְנִית|tavn<i>t|form, pattern; baking form
לְהַבְנוֹת|lehavn<o>t|to structure
בִּנְייָן|biny<a>n|building, structure, edifice; binyan, verb stem (Hebrew grammar)
לְבַסֵּס|levas<e>s|to establish, to found
לְהִתְבַּסֵּס|lehitbas<e>s|to be based, established
בְּסִיסָה|bsis<a>|to establish, to found
מְבוּסָּס|mevus<a>s|established; proven
בָּסִיס|bas<i>s|basis, foundation; base
לְבַעְבֵּעַ|leva'ab<e>a|to bubble, to gurgle
לִבְעוֹט|liv'<o>t|to kick
לְהִיבָּעֵט|lehiba'<e>t|to be kicked
לְהִיבָּעוֹת|lehiba'<o>t|to be revealed, to turn out (lit.)
בְּעָיָה|be'ay<a>|problem
בַּעַל|b<a>'al|master, owner; husband
לִבְעוֹל|liv'<o>l|to have sex (with a woman) (את)
בְּעִקְבוֹת|be'ikv<o>t|following; as a result of
לִבְעוֹר|liv'<o>r|to burn
לְהַבְעִיר|lehav'<i>r|to burn (transitive), to set on fire
מַבְעֵר|mav'<e>r|burner
לְבַעֵר|leva'<e>r|to exterminate, to destroy, to annihilate
בַּעַת|b<a>'at|phobia
לְהִיבָּעֵת|lehiba'<e>t|to be terrified, horrified (lit.)
בִּפְנֵי|bifn<e>i|facing (someone); in the face of
לְבַצְבֵּץ|levatzb<e>tz|to stick out, to sprout
לְבַצֵּעַ|levatz<e>a|to perform, to execute
לְהִתְבַּצֵּעַ|lehitbatz<e>a|to be executed, achieved
בִּיצּוּעַ|bitz<u>a|implementation, execution
מִבְצָע|mivtz<a>|operation; military campaign; sale
לִבְצוֹעַ|livtz<o>a|to slice (bread) (על, את)
בִּיצָּה|bitz<a>|swamp
לְבַצֵּר|levatz<e>r|to fortify, to reinforce
לְהִתְבַּצֵּר|lehitbatz<e>r|to be fortified
לְהִיבָּצֵר|lehibatz<e>r|to be impossible (for) (מין)
לִבְצוֹר|livtz<o>r|to collect, to pick (grapes)
בָּקִיא|bak<i>|knowledgeable, expert
בַּקְבּוּק|bakb<u>k|bottle
בְּקַלּוּת|bekal<u>t|easily
לִבְקוֹעַ|livk<o>a|to hatch, to rip
לְבַקֵּעַ|levak<e>a|to split, to cleave
לְהִיבָּקֵעַ|lehibak<e>a|to be cracked
לְהִתְבַּקֵּעַ|lehitbak<e>a|to split, to rip
לְהַבְקִיעַ|lehavk<i>a|to penetrate, to score a goal
לְבַקֵּר|levak<e>r|to visit (ב־); to criticise (את)
בּוֹקֶר|b<o>ker|morning
בַּקָּרָה|bakar<a>|inspection, control, supervision
בִּיקּוּר|bik<u>r|visit
בִּיקּוֹרֶת|bik<o>ret|criticism; examination; visit
לְבַקֵּשׁ|levak<e>sh|to ask, to request, to seek
לְהִתְבַּקֵּשׁ|lehitbak<e>sh|to be asked, required
בִּיקּוּשׁ|bik<u>sh|demand (economics); search
בַּקָּשָׁה|bakash<a>|request
לִבְרוֹא|livr<o>|to create, to shape
לְהִיבָּרֵא|lehibar<e>|to be created
לְהַבְרִיא|lehavr<i>|to recover, to convalesce
הַבְרָאָה|havra'<a>|convalescence, recovery
בָּרִיא|bar<i>|healthy
לְבָרֵא|levar<e>|to deforest, to cut trees (lit.)
בְּרִיאוּת|bri'<u>t|health
לְבַרְבֵּר|levarb<e>r|to chat, to prattle
לְהִתְבַּרְבֵּר|lehitbarb<e>r|to get entangled, to get lost
לְהַבְרִיג|lehavr<i>g|to screw, to fasten
בּוֹרֶג|b<o>reg|screw, bolt
מַבְרֵג|mavr<e>g|screwdriver
לְהִתְבָּרֵג|lehitbar<e>g|to be screwed; to get into
לְהַבְרִיז|lehavr<i>z|to shirk, to evade duty, to be absent from work (slang)
בַּרְזֶל|barz<e>l|iron
לִבְרוֹחַ|livr<o>ach|to escape, to run away
לְהַבְרִיחַ|lehavr<i>ach|to smuggle; to drive away
בְּרִית|br<i>t|pact, alliance, treaty, covenant
לְהִתְבַּרְייֵן|lehitbary<e>n|to bully (על)
לְבָרֵךְ|levar<e>ch|to bless, to greet, to felicitate
לְהִתְבָּרֵךְ|lehitbar<e>ch|to be blessed
בְּרָכָה|brach<a>|blessing; greeting
בָּרוּךְ|bar<u>ch|blessed
בֶּרֶךְ|b<e>rech|knee
לְהַבְרִיק|lehavr<i>k|to polish; to shine
הַבְרָקָה|havrak<a>|polishing; a sudden idea, insight
בָּרָק|bar<a>k|lightning, flash
מִבְרָק|mivr<a>k|telegram
לִבְרוֹק|livr<o>k|to flash, to gleam (biblical)
בָּרוּר|bar<u>r|clear, explicit, obvious
לְבָרֵר|levar<e>r|to clarify
לְהִתְבָּרֵר|lehitbar<e>r|to become clarified
בְּרֵירָה|brer<a>|choice, option
לָבוֹר|lav<o>r|to choose, to pick
בַּרְרָן|barer<a>n|choosy, fastidious
מוּבְרָר|muvr<a>r|to be clarified, explained
לְהַבְרִישׁ|lehavr<i>sh|to polish, to brush
בִּשְׁבִיל|bishv<i>l|for, for the sake of
לִבְשׁוֹל|livsh<o>l|to ripen
לְבַשֵּׁל|levash<e>l|to cook, to boil
לְהַבְשִׁיל|lehavsh<i>l|to ripen, to mature
לְהִתְבַּשֵּׁל|lehitbash<e>l|to brew, to be cooked
בִּישּׁוּל|bish<u>l|cooking, boiling
בָּשֵׁל|bash<e>l|ripe, mature; ready, prepared
לְבַשֵּׂם|levas<e>m|to aromatise, to odorise
לְהִתְבַּשֵּׂם|lehitbas<e>m|to perfume oneself
בּוֹשֶׂם|b<o>sem|perfume; scent
בְּשֵׁם|besh<e>m|on behalf of, in the name of
לְבַשֵּׂר|levas<e>r|to herald, to break the news
בָּשָׂר|bas<a>r|meat, flesh
בְּשָׂרִי|bsar<i>|of meat, related to meat; of flesh, corporeal
לְהִתְבַּשֵּׂר|lehitbas<e>r|to receive word, to be notified
בַּת|b<a>t|daughter, girl
בְּתוֹךְ|bet<o>ch|inside
לְבַתֵּק|levat<e>k|to split, to cleave; to pierce
לְבַתֵּר|levat<e>r|to slice, to carve
גַּאֲווָה|ga'av<a>|pride; egotism
לִגְאוֹת|lig'<o>t|to mount, to swell
לְהִתְגָּאוֹת|lehitga'<o>t|to be proud of (ב-)
גֵּאֶה|ge'<e>|proud; haughty, arrogant
גָּאוֹן|ga'<o>n|genius; Gaon (Judaism); (poetic) greatness
לִגְאוֹל|lig'<o>l|to redeem, to rescue
לְהִיגָּאֵל|lehiga'<e>l|to be redeemed, rescued
גְּאוּלָּה|ge'ul<a>|redemption
לְגַבֵּב|legab<e>v|to pile, to heap
גַּב|g<a>v|back; rear, dorsum; support, protection
לִגְבּוֹהַּ|ligb<o>a(h)|to be high, exalted
לְהַגְבִּיהַּ|lehagb<i>a(h)|to raise, to lift, to elevate
גּוֹבַהּ|g<o>va(h)|height; level
גָּבוֹהַּ|gav<o>a(h)|high, tall
לִגְבּוֹת|ligb<o>t|to collect dues, taxes
לְגַבּוֹת|legab<o>t|to back up, to support
לְהִיגָּבוֹת|lehigav<o>t|to be collected (of tax, fees)
גִּיבּוּי|gib<u>y|backup, support
לְהַגְבִּיל|lehagb<i>l|to limit, to restrict, to confine
הַגְבָּלָה|hagbal<a>|limitation, restraint
גְּבוּל|gv<u>l|border, limit
לִגְבּוֹל|ligb<o>l|to border (ב-)
גְּבִינָה|gvin<a>|cheese
גַּבָּן|gab<a>n|cheesemaker
גֶּבֶס|g<e>ves|gypsum, plaster
לְגַבֵּס|legab<e>s|to plaster; to put a cast (on a broken limb, etc.)
גִּבְעָה|giv'<a>|hill
גֶּבַע|g<e>va|hill (rare)
לִגְבּוֹר|ligb<o>r|to become stronger; to overpower (על)
לְהַגְבִּיר|lehagb<i>r|to boost, to increase, enhance, to intensify
גִּיבּוֹר|gib<o>r|hero; protagonist
הִתְגַּבְּרוּת|hitgabr<u>t|overcoming (difficulties, etc.); strengthening
גֶּבֶר|g<e>ver|man, male; cock, rooster (poetic)
גְּבַרְתָּן|gvart<a>n|tough guy, strong man
גְּבוּרָה|gvur<a>|courage, heroism
לְהִתְגַּבֵּר|lehitgab<e>r|to overcome, to get over (על)
לְגַבֵּשׁ|legab<e>sh|to consolidate, to crystallise
לְהִתְגַּבֵּשׁ|lehitgab<e>sh|to crystallise, to take shape
גִּיבּוּשׁ|gib<u>sh|consolidation, crystallisation; "team spirit" exercise
לְגַגֵּל|legag<e>l|to Google (slang)
לְהִתְגּוֹדֵד|lehitgod<e>d|to be assembled, gathered
לִגְדּוֹד|ligd<o>d|to pick (only refers to dates (fruit))
גְּדִי|gd<i>|kid, young goat; Capricorn
לְהַגְדִּיל|lehagd<i>l|to increase, to expand (transitive)
לִגְדּוֹל|ligd<o>l|to grow, to increase
לְגַדֵּל|legad<e>l|to grow, to bring up
גְּדִילָה|gdil<a>|growth
מִגְדָּל|migd<a>l|tower
הַגְדָּלָה|hagdal<a>|increase, enlargement
גּוֹדֶל|g<o>del|size, magnitude
מַגְדֶּלֶת|magd<e>let|magnifying glass
גָּדוֹל|gad<o>l|big, large
אֲגוּדָל|agud<a>l|thumb
גִּידּוּל|gid<u>l|growing, raising; growth, increase; tumor
לִגְדּוֹם|ligd<o>m|to sever, to stump
לְהִיגָּדֵם|lehigad<e>m|to be amputated, severed
לִגְדּוֹעַ|ligd<o>a|to hack, to cut off
לְגַדֵּף|legad<e>f|to curse, to abuse
גִּידּוּף|gid<u>f|cursing, swearing
לְגַדֵּר|legad<e>r|to fence, to enclose
לְהַגְדִּיר|lehagd<i>r|to define
מִגְדָּר|migd<a>r|gender (sociology)
הַגְדָּרָה|hagdar<a>|definition
גָּדֵר|gad<e>r|fence
לִגְדּוֹר|ligd<o>r|to fence, to enclose (rare)
לְהִתְגַּדֵּר|lehitgad<e>r|to limit oneself (to something) (ב־) (lit.)
לְהַגְדִּישׁ|lehagd<i>sh|to fill to overcrowding
לִגְדּוֹשׁ|ligd<o>sh|to fill, to stuff, to cram
לְגַהֵץ|legah<e>tz|to iron
מַגְהֵץ|magh<e>tz|iron, flat-iron
לְגַהֵק|legah<e>k|to burp, to belch
לִגְהוֹר|ligh<o>r|to bend over; to prostrate oneself
גֵּו|g<e>v|back, dorsum; trunk, torso (rare)
לְהָגִיב|lehag<i>v|to react, to respond to something (ב־)
תְּגוּבָה|tguv<a>|response, reaction
מוּגָז|mug<a>z|carbonated, sparkling (water, etc.)
לְהִיגּוֹז|lehig<o>z|to disappear, to vanish (lit.)
לְגַווֵּן|legav<e>n|to diversify, to vary, to shade
גָּווֶן|g<a>ven|hue, shade, colour
לִגְווֹעַ|ligv<o>a|to die, to perish
גּוּף|g<u>f|body; person (grammar)
לְהָגִיף|lehag<i>f|to close, to shut, to lock (door, window)
גּוּפָה|guf<a>|corpse
לָגוּר|lag<u>r|to live (in a specific location), to reside
לְהִתְגּוֹרֵר|lehitgor<e>r|to live (at), to reside, to dwell
לִגְזוֹז|ligz<o>z|to trim, to clip
לְהִיגָּזֵז|lehigaz<e>z|to be cut off
לִגְזוֹל|ligz<o>l|to rob, to steal
לְהִיגָּזֵל|lehigaz<e>l|to be stolen, robbed
לִגְזוֹם|ligz<o>m|to trim, to clip
לְהִיגָּזֵם|lehigaz<e>m|to be trimmed, clipped
לְהַגְזִים|lehagz<i>m|to exaggerate
גִּזְעִי|giz'<i>|pedigree; fashionable (slang)
גֶּזַע|g<e>za|trunk (of a tree); race (anthropology); stem (morphology, linguistics)
גִּזְעָן|giz'<a>n|racist
גִּזְעָנוּת|giz'an<u>t|racism
לְהִיגָּזֵר|lehigaz<e>r|to be cut off; to be sentenced
נִגְזָר|nigz<a>r|derivative, derived
גָּזִיר|gaz<i>r|differentiable (mathematics)
גִּזְרָה|gizr<a>|sector, zone; figure, shape (body); cut, dress pattern; morphology pattern (Hebrew grammar)
גֶּזֶר|g<e>zer|piece, part, segment; carrot
גִּיזָּרוֹן|gizar<o>n|etymology
לִגְזוֹר|ligz<o>r|to cut off, to cut; to sentence
לִגְחוֹךְ|ligch<o>ch|to chuckle, to giggle (lit.)
לְגַחֵךְ|legach<e>ch|to chuckle, to giggle
לְהַגְחִיךְ|lehagch<i>ch|to ridicule, to make a laughing stock of someone
מְגוּחָךְ|meguch<a>ch|ridiculous, absurd
לִגְחוֹן|ligch<o>n|to lean, to incline
לְהָגִיחַ|lehag<i>ach|to burst out, to dash
לָגִיל|lag<i>l|to rejoice, to be happy
לְגַייֵּס|legay<e>s|to recruit, to enrol, to raise (funds)
לְהִתְגַּייֵּס|lehitgay<e>s|to enlist
גִּיּוּס|giy<u>s|recruitment, enrolment; fundraising
לְגַייֵּר|legay<e>r|to convert (someone) to Judaism
לְהִתְגַּייֵּר|lehitgay<e>r|to convert to Judaism
גִּיּוּר|giy<u>r|giyur, conversion to Judaism
לְגַלְגֵּל|legalg<e>l|to roll, to revolve (transitive)
לְהִתְגַּלְגֵּל|lehitgalg<e>l|to roll, to revolve
גַּלְגָּל|galg<a>l|wheel
גּוּלְגּוֹלֶת|gulg<o>let|skull, cranium
לְהַגְלִיד|lehagl<i>d|to scar over, to form a scab (of a wound)
לְגַלֵּחַ|legal<e>ach|to shave (transitive)
לְהִתְגַּלֵּחַ|lehitgal<e>ach|to shave
גִּילּוּחַ|gil<u>ach|shaving
לְגַלּוֹת|legal<o>t|to discover
לְהִתְגַּלּוֹת|lehitgal<o>t|to be discovered, to appear
לִגְלוֹת|ligl<o>t|to be exiled, deported
לְהִיגָּלוֹת|lehigal<o>t|to become visible, to be revealed
לְהַגְלוֹת|lehagl<o>t|to deport, to exile
גְּלוּיָה|gluy<a>|postcard
תַּגְלִית|tagl<i>t|discovery
גָּלוּת|gal<u>t|exile; diaspora
לְגוֹלֵל|legol<e>l|to unwrap, to describe in detail
לְהִתְגּוֹלֵל|lehitgol<e>l|to roll (intransitive)
גַּל|g<a>l|wave; movement (art, fashion); pile, heap; shaft (mechanics)
גְּלוּלָה|glul<a>|pill, tablet
מְגִילָּה|megil<a>|scroll
לִגְלוֹל|ligl<o>l|to roll, to wrap (transitive)
לְהִיגּוֹל|lehig<o>l|to roll, to be rolled (lit.); to be unrolled, to be revealed (lit.)
לְגַלֵּם|legal<e>m|to embody, to impersonate
לְהִתְגַּלֵּעַ|lehitgal<e>a|to break out, to burst out
לְגַלֵּף|legal<e>f|to carve, to engrave
תַּגְלִיף|tagl<i>f|engraving, carving
גְּלוּפָה|gluf<a>|printing block (typography)
לִגְלוֹשׁ|ligl<o>sh|to glide, to slide, to surf, to ski
לְהִתְגַּלֵּשׁ|lehitgal<e>sh|to slide (on a playground)
גַּם|g<a>m|also, too, in addition
לִגְמוֹא|ligm<o>|to sip, to gulp
גּוֹמֶא|g<o>me|papyrus, reed
לְגַמְגֵּם|legamg<e>m|to stutter, to hesitate
לְגַמֵּד|legam<e>d|to minimise, to shrink, to curtail
לְהִתְגַּמֵּד|lehitgam<e>d|to be dwarfed
לְהִיגָּמֵל|lehigam<e>l|to be weaned, to be rehabilitated
גָּמָל|gam<a>l|camel
גַּמָּל|gam<a>l|caravaneer, camel driver
תַּגְמוּל|tagm<u>l|compensation, remuneration
לִגְמוֹל|ligm<o>l|to recompense, to pay back
לִגְמוֹר|ligm<o>r|to finish, to complete
לְהִיגָּמֵר|lehigam<e>r|to come to an end, to run out, to end
לְהַגְמִישׁ|lehagm<i>sh|to soften (something), to make more flexible; to tone down
לִגְנוֹב|lign<o>v|to steal
לְהִיגָּנֵב|lehigan<e>v|to be stolen
לְהַגְנִיב|lehagn<i>v|to smuggle, to insinuate
גְּנֵיבָה|gnev<a>|theft
לְהִתְגַּנֵּב|lehitgan<e>v|to sneak into, to sneak into
לְגַנְדֵּר|legand<e>r|to embellish, to decorate
לְהִתְגַּנְדֵּר|lehitgand<e>r|to embellish, adorn oneself
לְהִיגָּנֵז|lehigan<e>z|to be hidden, buried; to be postponed cancelled
לִגְנוֹז|lign<o>z|to shelve, to stash
לִגְנוֹחַ|lign<o>ach|to groan, to moan
לְגַנּוֹת|legan<o>t|to condemn, to denounce
לְגוֹנֵן|legon<e>n|to defend, to protect
לְהִתְגּוֹנֵן|lehitgon<e>n|to defend oneself
לְהָגֵן|lehag<e>n|to defend, to protect
גַּן|g<a>n|garden
גַּנָּן|gan<a>n|gardener; kindergarten teacher
לָגוֹן|lag<o>n|to defend, to protect (על) (biblical)
מָגֵן|mag<e>n|shield; guard, protector
לְגַנֵּן|legan<e>n|to do gardening, to garden (rare)
לִגְסוֹס|ligs<o>s|to be dying
גַּס|g<a>s|coarse, rude
לְגַעְגֵּעַ|lega'ag<e>a|to cackle, to honk (of geese)
לְהִתְגַּעְגֵּעַ|lehitga'ag<e>a|to miss, to long for, to yearn (ל-)
גִּיעְגּוּעַ|gi'ag<u>a|cackling (of geese)
גַּעְגּוּעִים|ga'agu'<i>m|yearning, longing for something (ל־)
לִגְעוֹת|lig'<o>t|to moo, to roar
לְהַגְעִיל|lehag'<i>l|to be disgusting, nauseating
